Posting Date,Document Number,MODEL,Ordered Quantity,Delivered Quantity,Remaining Open Quantity,Pur/Sls UoM if Base Unit,From Warehouse Code,To Warehouse,PO No/,Special Instruction,BRANCH NAME,Document Status,Due Date,User Code,PO Number,ISMS PO#,TOTAL CBM
9/22/25,91445,43STW101,2,,,FWH14P1F,CWEA1000,,,,WESTERN FAIRVIEW,O,9/29/25,mmayorga,1136284,,0.085
9/22/25,91445,SWS-01,2,,,FWH14P1F,CWEA1000,,,,WESTERN FAIRVIEW,O,9/29/25,mmayorga,1136284,,0
